subject_name,course_name,absolute_course_url
Art & Design Courses,How to Write Your First Song,https://www.classcentral.com/course/songwriting-3369
Art & Design Courses,   ANIMATIONs,https://www.classcentral.com/course/swayam-animations-13880
Art & Design Courses,Sustainability in Architecture: An Interdisciplinary Introduction,https://www.classcentral.com/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438
Art & Design Courses,Gamification,https://www.classcentral.com/course/gamification-343
Art & Design Courses,Innovation: the Fashion Industry,https://www.classcentral.com/course/fashion-innovation-5004
Art & Design Courses,Introduction to Classical Music,https://www.classcentral.com/course/introclassicalmusic-2987
Art & Design Courses,Radio para internet con Podcast: creación y conceptos básicos,https://www.classcentral.com/course/edx-radio-para-internet-con-podcast-creacion-y-conceptos-basicos-11824
Art & Design Courses,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",https://www.classcentral.com/course/edx-circular-fashion-design-science-and-value-in-a-sustainable-clothing-industry-17080
Art & Design Courses,Design: Creation of Artifacts in Society,https://www.classcentral.com/course/design-371
Art & Design Courses,Physical Theatre: Exploring the Slap,https://www.classcentral.com/course/physical-theatre-exploring-the-slap-6096
Art & Design Courses,Max MSP Programming Course: Structuring Interactive Software for Digital Arts,https://www.classcentral.com/course/kadenze-max-msp-programming-course-structuring-interactive-software-for-digital-arts-6411
Art & Design Courses,Introduction to Real-Time Audio Programming in ChucK,https://www.classcentral.com/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
Art & Design Courses,Guitar for Beginners,https://www.classcentral.com/course/guitar-522
Art & Design Courses,The 3D Printing Revolution,https://www.classcentral.com/course/3d-printing-revolution-5991
Art & Design Courses,Fundamentals of Graphic Design,https://www.classcentral.com/course/fundamentals-of-graphic-design-4792
Art & Design Courses,A Scuola con Raffaello,https://www.classcentral.com/course/independent-a-scuola-con-raffaello-21210
Art & Design Courses,Ableton Live Course: Sound Production for Musicians and Artists,https://www.classcentral.com/course/kadenze-ableton-live-course-sound-production-for-musicians-and-artists-3765
Art & Design Courses,Roman Architecture,https://www.classcentral.com/course/romanarchitecture-910
Art & Design Courses,The Architectural Imagination,https://www.classcentral.com/course/edx-the-architectural-imagination-7836
Art & Design Courses,"History of Rock, Part One",https://www.classcentral.com/course/historyofrock1-690
